parent_id,parent_name,product_id,name,sku,color,price,special_price,final_price,discount_percent,stock,thumbnail,image_url
106272,Laptop ASUS TUF Gaming F16 FX608JMR-RV048W,106274,Laptop ASUS TUF Gaming F16 FX608JMR-RV048W-Xám,LAP-ASU-F16-FX608JMR-RV048W-I7-14650HX-XA,Xám,40990000,39590000,39590000,3.42,0,/t/e/text_ng_n_15_22.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_15_22.png
105202,Laptop ASUS Vivobook S14 S3407CA-LY095WS,105203,Laptop ASUS Vivobook S14 S3407CA-LY095WS-Xám,LAP-ASU-S14-S3407CA-LY095WS-U5-225H-XA,Xám,27990000,23190000,23190000,17.15,59,/t/e/text_ng_n_14_20.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_14_20.png
133894,Laptop Acer Aspire Lite 15 AL15-36P-30TN,133895,Laptop Acer Aspire Lite 15 AL15-36P-30TN-Bạc,LAP-ACER-AL15-36P-30TN-NXDDASV001-CORE3-N350-BA,Bạc,16990000,16490000,16490000,2.94,39,/x/_/x_m_2_88.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/_/x_m_2_88.png
102125,Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20004VN,102126,Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20004VN-Xám,LAP-LEN-16IRH10-83K20004VN-I7-13620H-XA,Xám,24990000,23390000,23390000,6.4,0,/t/e/text_ng_n_20__5_65.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_20__5_65.png
131464,Laptop Lenovo IdeaPad 5 2-in-1 14IPH11 83UG0026VN,131465,Laptop Lenovo IdeaPad 5 2-in-1 14IPH11 83UG0026VN-Xám,LAP-LEN-14IPH11-83UG0026VN-U5-322-XA,Xám,32990000,30590000,30590000,7.27,19,/s/s/sssxs_62.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_62.png
115880,Laptop Dell 15 DC15255 X9YM41,115881,Laptop Dell 15 DC15255 X9YM41-Bạc,LAP-DELL-15-DC15255-X9YM41-R7-7730U-BA,Bạc,22990000,21990000,21990000,4.35,96,/t/_/t_i_xu_ng_14_7.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/_/t_i_xu_ng_14_7.png
130400,Laptop Acer Aspire Lite 15 AL15-48P-R86Q,130401,Laptop Acer Aspire Lite 15 AL15-48P-R86Q-Bạc,LAP-ACER-AL15-48P-R86Q-NXDS1SV002-R7-5825U-BA,Bạc,18990000,17490000,17490000,7.9,122,/s/s/sssxs_11.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_11.png
109990,Laptop MSI Katana 15 HX B14WEK-286VN,109991,Laptop MSI Katana 15 HX B14WFK-286VN-Đen,LAP-MSI-15-HX-B14WEK-286VN-I5-14450HX-DN,Đen,41990000,38990000,38990000,7.14,22,/t/e/text_ng_n_3__7_272.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_3__7_272.png
116534,Laptop Acer Gaming Nitro ProPanel ANV16S-41-R337,116537,Laptop Acer Gaming Nitro ProPanel ANV16S-41-R337-Đen,LAP-ACER-ANV16S-41-R337-NHQZZSV002-R7-260-DN,Đen,46990000,41290000,41290000,12.13,11,/s/s/sssxs_46.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_46.png
104171,Laptop ASUS ROG Strix G16 G615LR-S5238W,104172,Laptop ASUS ROG Strix G16 G615LR-S5238W-Xám,LAP-ASU-G16-G615LR-S5238W-U7-255HX-XA,Xám,58990000,54990000,54990000,6.78,0,/t/e/text_ng_n_5__9_58.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_5__9_58.png
88373,Laptop Acer Gaming Nitro ProPanel ANV15-41-R7AP,88374,Laptop Acer Gaming Nitro ProPanel ANV15-41-R7AP-Đen,LAP-ACER-V-ANV15-41-R7AP-R5-7535HS-DN,Đen,22990000,17390000,17390000,24.36,0,/s/s/sssxs_31_2.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_2.png
123087,Laptop ASUS VivoBook 14 A1407QA-LY114W,123108,Laptop ASUS VivoBook 14 A1407QA-LY114W-Bạc,LAP-ASU-A1407QA-LY114W-X1-26-100-BA,Bạc,22990000,18390000,18390000,20.01,43,/s/s/ssss_2_40.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_40.png
96100,Laptop ASUS Vivobook S14 OLED S5406SA-PP059WS,96101,Laptop ASUS Vivobook S14 OLED S5406SA-PP059WS-Xanh,LAP-ASU-S14-S5406SA-PP059WS-U7-258V-XD,Xanh,35990000,35290000,35290000,1.94,0,/t/e/text_ng_n_1__7_40.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_1__7_40.png
116554,Laptop Acer Gaming Nitro ProPanel AN16S-61-R193,116555,Laptop Acer Gaming Nitro ProPanel AN16S-61-R193-Đen,LAP-ACER-AN16S-61-R193-NHQXTSV001-R9-AI-365-DN,Đen,60990000,59990000,59990000,1.64,9,/s/s/sssxs_42.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_42.png
108955,Laptop Acer Gaming Nitro ProPanel ANV15-41-R0FE,108957,Laptop Acer Gaming Nitro ProPanel ANV15-41-R0FE-Đen,LAP-ACER-ANV15-41-R0FE-NHQPFSV005-R7-7735H-DN,Đen,32990000,26990000,26990000,18.19,67,/s/s/sssxs_31_3.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/sssxs_31_3.png
100668,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN,100669,Laptop Lenovo IdeaPad Slim 3 15ABR8 82XM00MDVN-Xám,LAP-LEN-15ABR8-82XM00MDVN-R5-5625U-XA,Xám,14290000,12490000,12490000,12.6,0,/t/e/text_ng_n_12__5_168.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_12__5_168.png
95793,Laptop ASUS Vivobook 14 X1404VA-NK394W ,95794,Laptop ASUS Vivobook 14 X1404VA-NK394W -Bạc,LAP-ASU-X1404VA-NK394W-I3-1315U-BA,Bạc,13490000,0,13490000,0.0,0,/t/e/text_ng_n_13__6_127.png,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_13__6_127.png
